Column5;Column7;Column8;Column9;Column10;Column13
Eminem;Untitled;3:14;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Ridaz;4:59;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Session One (feat. Slaughterhouse);4:28;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Not Afraid;4:18;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Bad Guy;7:14;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Parking Lot (skit);0:55;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Rhyme Or Reason;5:01;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;So Much Better;4:21;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Survival;4:32;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Legacy;4:56;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;A*****e (feat. Skylar Grey);4:48;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Berzerk;3:58;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Rap God;6:03;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Brainless;4:46;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Stronger Than I Was;5:36;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;The Monster (feat. Rihanna);4:10;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;So Far...;5:17;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Love Game (feat. Kendrick Lamar);4:56;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Headlights (feat. Nate Ruess);5:43;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Evil Twin;7:33;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Bad Guy;7:14;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Parking Lot (Skit);0:55;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Rhyme or Reason;5:01;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;So Much Better;4:21;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Survival;4:32;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Legacy;4:56;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;A*****e (feat. Skylar Grey);4:48;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Berzerk;3:58;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Rap God;6:03;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Brainless;4:46;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Stronger Than I Was;5:36;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;The Monster (feat. Rihanna);4:10;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;So Far...;5:17;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Love Game (feat. Kendrick Lamar);4:56;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Headlights (feat. Nate Ruess);5:43;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Evil Twin;5:56;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Baby;4:23;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Desperation (feat. Jamie N Commons);3:56;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Groundhog Day;4:53;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Beautiful Pain (feat. Sia);4:25;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Wicked Ways (feat. X Ambassadors);6:32;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Walk On Water (feat. Beyoncé);5:03;Revival;2017;Hip-Hop/Rap
Eminem;Believe;5:15;Revival;2017;Hip-Hop/Rap
Eminem;Chloraseptic (feat. PHRESHER);5:01;Revival;2017;Hip-Hop/Rap
Eminem;Untouchable;6:10;Revival;2017;Hip-Hop/Rap
Eminem;River (feat. Ed Sheeran);3:41;Revival;2017;Hip-Hop/Rap
Eminem;Remind Me (Intro);0:26;Revival;2017;Hip-Hop/Rap
Eminem;Remind Me;3:45;Revival;2017;Hip-Hop/Rap
Eminem;Revival (Interlude);0:51;Revival;2017;Hip-Hop/Rap
Eminem;Like Home (feat. Alicia Keys);4:05;Revival;2017;Hip-Hop/Rap
Eminem;Bad Husband (feat. X Ambassadors);4:47;Revival;2017;Hip-Hop/Rap
Eminem;Tragic Endings (feat. Skylar Grey);4:12;Revival;2017;Hip-Hop/Rap
Eminem;Framed;4:13;Revival;2017;Hip-Hop/Rap
Eminem;Nowhere Fast (feat. Kehlani);4:24;Revival;2017;Hip-Hop/Rap
Eminem;Heat;4:10;Revival;2017;Hip-Hop/Rap
Eminem;Offended;5:20;Revival;2017;Hip-Hop/Rap
Eminem;Need Me (feat. P!nk);4:25;Revival;2017;Hip-Hop/Rap
Eminem;In Your Head;3:02;Revival;2017;Hip-Hop/Rap
Eminem;Castle;4:14;Revival;2017;Hip-Hop/Rap
Eminem;Arose;4:34;Revival;2017;Hip-Hop/Rap
Eminem;The Ringer;5:37;Kamikaze;2018;Hip-Hop/Rap
Eminem;Greatest;3:46;Kamikaze;2018;Hip-Hop/Rap
